Area,Consumption Segment,Country,Sector,data
Urban,Low,Afghanistan,Health,0.032575984
Urban,Low,Afghanistan,Education   ,0.00297091
Urban,Low,Afghanistan,Water Utility,0.001691915
Urban,Low,Afghanistan,Transport,0.054857167
Urban,Low,Afghanistan,Energy,0.079060878
Urban,Low,Afghanistan,Housing,0.165613134
Urban,Low,Afghanistan,Clothing and Footwear,0.042611975
Urban,Low,Afghanistan,Food and Beverages,0.469886379
Urban,Low,Afghanistan,All Sectors,1
Urban,Lowest,Afghanistan,Others,0.08014914
Urban,Lowest,Afghanistan,Financial Services,0
Urban,Lowest,Afghanistan,ICT,0.017952855
Urban,Lowest,Afghanistan,Personal Care,0.016925391
Urban,Lowest,Afghanistan,Health,0.035281009
Urban,Lowest,Afghanistan,Education   ,0.000784307
Urban,Lowest,Afghanistan,Water Utility,0.001650916
Urban,Lowest,Afghanistan,Transport,0.029217563
Urban,Lowest,Afghanistan,Energy,0.097686769
Urban,Lowest,Afghanistan,Housing,0.148364171
Urban,Lowest,Afghanistan,Clothing and Footwear,0.046661181
Urban,Lowest,Afghanistan,Food and Beverages,0.525326699
Urban,Lowest,Afghanistan,All Sectors,1
Urban,All,Afghanistan,Others,0.101622823
Urban,All,Afghanistan,Financial Services,0
Urban,All,Afghanistan,ICT,0.027311614
Urban,All,Afghanistan,Personal Care,0.01877427
Urban,All,Afghanistan,Health,0.031744725
Urban,All,Afghanistan,Education   ,0.002905261
Urban,All,Afghanistan,Water Utility,0.001613904
Urban,All,Afghanistan,Transport,0.069999366
Urban,All,Afghanistan,Energy,0.076932694
Urban,All,Afghanistan,Housing,0.167021754
Urban,All,Afghanistan,Clothing and Footwear,0.042248075
Urban,All,Afghanistan,Food and Beverages,0.459825515
Urban,All,Afghanistan,All Sectors,1
National,Higher,Albania,Others,0.09394951
National,Higher,Albania,Financial Services,0.004908168
National,Higher,Albania,ICT,0.088212737
National,Higher,Albania,Personal Care,0.016998688
National,Higher,Albania,Health,0.01583557
National,Higher,Albania,Education   ,0.004699915
National,Higher,Albania,Water Utility,0.003530935
National,Higher,Albania,Transport,0.153739147
National,Higher,Albania,Energy,0.037137531
National,Higher,Albania,Housing,0.012875301
National,Higher,Albania,Clothing and Footwear,0.039144953
National,Higher,Albania,Food and Beverages,0.528967546
National,Higher,Albania,All Sectors,1
National,Middle,Albania,Others,0.085390829
National,Middle,Albania,Financial Services,0.002713585
National,Middle,Albania,ICT,0.05413581
National,Middle,Albania,Personal Care,0.018623491
National,Middle,Albania,Health,0.038436874
National,Middle,Albania,Education   ,0.006248335
National,Middle,Albania,Water Utility,0.006517559
National,Middle,Albania,Transport,0.069355456
National,Middle,Albania,Energy,0.064367497
National,Middle,Albania,Housing,0.018666348
National,Middle,Albania,Clothing and Footwear,0.029881253
National,Middle,Albania,Food and Beverages,0.60566296
National,Middle,Albania,All Sectors,1
National,Low,Albania,Others,0.082826814
National,Low,Albania,Financial Services,0.000905201
National,Low,Albania,ICT,0.042639624
National,Low,Albania,Personal Care,0.01853435
National,Low,Albania,Health,0.037356818
National,Low,Albania,Education   ,0.003851413
National,Low,Albania,Water Utility,0.00800309
National,Low,Albania,Transport,0.029841008
National,Low,Albania,Energy,0.076633604
National,Low,Albania,Housing,0.014872963
National,Low,Albania,Clothing and Footwear,0.029112888
National,Low,Albania,Food and Beverages,0.655422226
National,Low,Albania,All Sectors,1
National,Lowest,Albania,Others,0.096206315
National,Lowest,Albania,Financial Services,2.75E-05
National,Lowest,Albania,ICT,0.034348682
National,Lowest,Albania,Personal Care,0.019499774
National,Lowest,Albania,Health,0.022485949
National,Lowest,Albania,Education   ,0.003188222
National,Lowest,Albania,Water Utility,0.011769466
National,Lowest,Albania,Transport,0.01255059
National,Lowest,Albania,Energy,0.090863481
National,Lowest,Albania,Housing,0.015810389
National,Lowest,Albania,Clothing and Footwear,0.0321172
National,Lowest,Albania,Food and Beverages,0.66113247
National,Lowest,Albania,All Sectors,1
National,All,Albania,Others,0.085233782
National,All,Albania,Financial Services,0.002122855
National,All,Albania,ICT,0.05202496
National,All,Albania,Personal Care,0.01846465
National,All,Albania,Health,0.035860846
National,All,Albania,Education   ,0.005099603
National,All,Albania,Water Utility,0.006950329
National,All,Albania,Transport,0.059528602
National,All,Albania,Energy,0.067467061
National,All,Albania,Housing,0.016598957
National,All,Albania,Clothing and Footwear,0.03038
National,All,Albania,Food and Beverages,0.620268356
National,All,Albania,All Sectors,1
Rural,Higher,Albania,Others,0.068458948
Rural,Higher,Albania,Financial Services,0.000583403
Rural,Higher,Albania,ICT,0.034112757
Rural,Higher,Albania,Personal Care,0.004520867
Rural,Higher,Albania,Health,0.024789211
Rural,Higher,Albania,Education   ,0.000503183
Rural,Higher,Albania,Water Utility,0.001452758
Rural,Higher,Albania,Transport,0.273777267
Rural,Higher,Albania,Energy,0.053638253
Rural,Higher,Albania,Housing,0.015588204
Rural,Higher,Albania,Clothing and Footwear,0.030797579
Rural,Higher,Albania,Food and Beverages,0.49177757
Rural,Higher,Albania,All Sectors,1
Rural,Middle,Albania,Others,0.077895385
Rural,Middle,Albania,Financial Services,0.003412776
Rural,Middle,Albania,ICT,0.032875618
Rural,Middle,Albania,Personal Care,0.016933519
Rural,Middle,Albania,Health,0.051156344
Rural,Middle,Albania,Education   ,0.001624902
Rural,Middle,Albania,Water Utility,0.00374583
Rural,Middle,Albania,Transport,0.097335411
Rural,Middle,Albania,Energy,0.061771242
Rural,Middle,Albania,Housing,0.011932921
Rural,Middle,Albania,Clothing and Footwear,0.022327806
Rural,Middle,Albania,Food and Beverages,0.618988245
Rural,Middle,Albania,All Sectors,1
Rural,Low,Albania,Others,0.079597084
Rural,Low,Albania,Financial Services,0.000950172
Rural,Low,Albania,ICT,0.034585365
Rural,Low,Albania,Personal Care,0.016268226
Rural,Low,Albania,Health,0.040103411
Rural,Low,Albania,Education   ,0.002524646
Rural,Low,Albania,Water Utility,0.005434878
Rural,Low,Albania,Transport,0.038178962
Rural,Low,Albania,Energy,0.071088815
Rural,Low,Albania,Housing,0.011641062
Rural,Low,Albania,Clothing and Footwear,0.028339577
Rural,Low,Albania,Food and Beverages,0.671287802
Rural,Low,Albania,All Sectors,1
Rural,Lowest,Albania,Others,0.091213418
Rural,Lowest,Albania,Financial Services,3.71E-05
Rural,Lowest,Albania,ICT,0.032793666
Rural,Lowest,Albania,Personal Care,0.020785781
Rural,Lowest,Albania,Health,0.022917334
Rural,Lowest,Albania,Education   ,0.00317036
Rural,Lowest,Albania,Water Utility,0.010514252
Rural,Lowest,Albania,Transport,0.016421257
Rural,Lowest,Albania,Energy,0.090134113
Rural,Lowest,Albania,Housing,0.014418634
Rural,Lowest,Albania,Clothing and Footwear,0.035567046
Rural,Lowest,Albania,Food and Beverages,0.662027046
Rural,Lowest,Albania,All Sectors,1
Rural,All,Albania,Others,0.079247354
Rural,All,Albania,Financial Services,0.001806387
Rural,All,Albania,ICT,0.033911181
Rural,All,Albania,Personal Care,0.016550037
Rural,All,Albania,Health,0.043437131
Rural,All,Albania,Education   ,0.002203828
Rural,All,Albania,Water Utility,0.004948804
Rural,All,Albania,Transport,0.06073523
Rural,All,Albania,Energy,0.068170891
Rural,All,Albania,Housing,0.011862747
Rural,All,Albania,Clothing and Footwear,0.026414175
Rural,All,Albania,Food and Beverages,0.650712234
Rural,All,Albania,All Sectors,1
Urban,Higher,Albania,Others,0.094904498
Urban,Higher,Albania,Financial Services,0.005070193
Urban,Higher,Albania,ICT,0.090239559
Urban,Higher,Albania,Personal Care,0.017466162
Urban,Higher,Albania,Health,0.015500127
Urban,Higher,Albania,Education   ,0.004857143
Urban,Higher,Albania,Water Utility,0.003608793
Urban,Higher,Albania,Transport,0.149241993
Urban,Higher,Albania,Energy,0.036519342
Urban,Higher,Albania,Housing,0.012773664
Urban,Higher,Albania,Clothing and Footwear,0.039457682
Urban,Higher,Albania,Food and Beverages,0.530360845
Urban,Higher,Albania,All Sectors,1
Urban,Middle,Albania,Others,0.088179182
Urban,Middle,Albania,Financial Services,0.002453482
Urban,Middle,Albania,ICT,0.062044737
Urban,Middle,Albania,Personal Care,0.019252172
Urban,Middle,Albania,Health,0.03370515
Urban,Middle,Albania,Education   ,0.007968282
Urban,Middle,Albania,Water Utility,0.00754866
Urban,Middle,Albania,Transport,0.058946736
Urban,Middle,Albania,Energy,0.065333321
Urban,Middle,Albania,Housing,0.021171226
Urban,Middle,Albania,Clothing and Footwear,0.032691184
Urban,Middle,Albania,Food and Beverages,0.600705869
Urban,Middle,Albania,All Sectors,1
Urban,Low,Albania,Others,0.086819508
Urban,Low,Albania,Financial Services,0.000849606
Urban,Low,Albania,ICT,0.052596553
Urban,Low,Albania,Personal Care,0.021335804
Urban,Low,Albania,Health,0.033961394
Urban,Low,Albania,Education   ,0.005491604
Urban,Low,Albania,Water Utility,0.011177996
Urban,Low,Albania,Transport,0.019533366
Urban,Low,Albania,Energy,0.083488247
Urban,Low,Albania,Housing,0.01886834
Urban,Low,Albania,Clothing and Footwear,0.03006888
Urban,Low,Albania,Food and Beverages,0.635808701
Urban,Low,Albania,All Sectors,1
Urban,Lowest,Albania,Others,0.110443117
Urban,Lowest,Albania,Financial Services,0
Urban,Lowest,Albania,ICT,0.038782673
Urban,Lowest,Albania,Personal Care,0.015832838
Urban,Lowest,Albania,Health,0.021255892
Urban,Lowest,Albania,Education   ,0.003239153
Urban,Lowest,Albania,Water Utility,0.015348597
Urban,Lowest,Albania,Transport,0.001513728
Urban,Lowest,Albania,Energy,0.092943212
Urban,Lowest,Albania,Housing,0.019778855
Urban,Lowest,Albania,Clothing and Footwear,0.022280271
Urban,Lowest,Albania,Food and Beverages,0.658581664
Urban,Lowest,Albania,All Sectors,1
Urban,All,Albania,Others,0.088793274
Urban,All,Albania,Financial Services,0.002311024
Urban,All,Albania,ICT,0.0627953
Urban,All,Albania,Personal Care,0.019603066
Urban,All,Albania,Health,0.031356035
Urban,All,Albania,Education   ,0.006821413
Urban,All,Albania,Water Utility,0.008140423
Urban,All,Albania,Transport,0.058811148
Urban,All,Albania,Energy,0.067048568
Urban,All,Albania,Housing,0.019415077
Urban,All,Albania,Clothing and Footwear,0.032738055
Urban,All,Albania,Food and Beverages,0.602166616
Urban,All,Albania,All Sectors,1
National,Higher,Armenia,Others,0.549945033
National,Higher,Armenia,Financial Services,0
National,Higher,Armenia,ICT,0.021116866
National,Higher,Armenia,Personal Care,0.011132762
National,Higher,Armenia,Health,0.284347704
National,Higher,Armenia,Education   ,0
National,Higher,Armenia,Water Utility,0.000627933
National,Higher,Armenia,Transport,0.009457787
National,Higher,Armenia,Energy,0.028157406
National,Higher,Armenia,Housing,0
National,Higher,Armenia,Clothing and Footwear,0.029797656
National,Higher,Armenia,Food and Beverages,0.065416853
National,Higher,Armenia,All Sectors,1
National,Middle,Armenia,Others,0.071601756
National,Middle,Armenia,Financial Services,9.06E-05
National,Middle,Armenia,ICT,0.046297487
National,Middle,Armenia,Personal Care,0.018558433
National,Middle,Armenia,Health,0.258948692
National,Middle,Armenia,Education   ,0.056731005
National,Middle,Armenia,Water Utility,0.00578028
National,Middle,Armenia,Transport,0.131764629
National,Middle,Armenia,Energy,0.025704267
National,Middle,Armenia,Housing,0.036840267
National,Middle,Armenia,Clothing and Footwear,0.057770161
National,Middle,Armenia,Food and Beverages,0.289912431
National,Middle,Armenia,All Sectors,1
National,Low,Armenia,Others,0.073517629
National,Low,Armenia,Financial Services,3.83E-05
National,Low,Armenia,ICT,0.050703164
National,Low,Armenia,Personal Care,0.021676449
National,Low,Armenia,Health,0.101227187
National,Low,Armenia,Education   ,0.02020146
National,Low,Armenia,Water Utility,0.008973068
National,Low,Armenia,Transport,0.076619785
National,Low,Armenia,Energy,0.04110315
National,Low,Armenia,Housing,0.015754384
National,Low,Armenia,Clothing and Footwear,0.045049529
National,Low,Armenia,Food and Beverages,0.545135942
National,Low,Armenia,All Sectors,1
National,Lowest,Armenia,Others,0.066835235
National,Lowest,Armenia,Financial Services,0.000175438
National,Lowest,Armenia,ICT,0.044332591
National,Lowest,Armenia,Personal Care,0.017281357
National,Lowest,Armenia,Health,0.0589987
National,Lowest,Armenia,Education   ,0.009620532
National,Lowest,Armenia,Water Utility,0.010150897
National,Lowest,Armenia,Transport,0.042641844
National,Lowest,Armenia,Energy,0.055378977
National,Lowest,Armenia,Housing,0.005606808
National,Lowest,Armenia,Clothing and Footwear,0.020025192
National,Lowest,Armenia,Food and Beverages,0.668952428
National,Lowest,Armenia,All Sectors,1
National,All,Armenia,Others,0.072472816
National,All,Armenia,Financial Services,7.92E-05
National,All,Armenia,ICT,0.0485849
National,All,Armenia,Personal Care,0.020227508
National,All,Armenia,Health,0.102773013
National,All,Armenia,Education   ,0.020225711
National,All,Armenia,Water Utility,0.009019769
National,All,Armenia,Transport,0.071749011
National,All,Armenia,Energy,0.043689626
National,All,Armenia,Housing,0.014675099
National,All,Armenia,Clothing and Footwear,0.039308488
National,All,Armenia,Food and Beverages,0.557194854
National,All,Armenia,All Sectors,1
Rural,Higher,Armenia,Others,0
Rural,Higher,Armenia,Financial Services,0
Rural,Higher,Armenia,ICT,0
Rural,Higher,Armenia,Personal Care,0
Rural,Higher,Armenia,Health,0
Rural,Higher,Armenia,Education   ,0
Rural,Higher,Armenia,Water Utility,0
Rural,Higher,Armenia,Transport,0
Rural,Higher,Armenia,Energy,0
Rural,Higher,Armenia,Housing,0
Rural,Higher,Armenia,Clothing and Footwear,0
Rural,Higher,Armenia,Food and Beverages,0
Rural,Higher,Armenia,All Sectors,0
Rural,Middle,Armenia,Others,0.030302839
Rural,Middle,Armenia,Financial Services,0
Rural,Middle,Armenia,ICT,0.045787976
Rural,Middle,Armenia,Personal Care,0.00941114
Rural,Middle,Armenia,Health,0.466656323
Rural,Middle,Armenia,Education   ,0.008485562
Rural,Middle,Armenia,Water Utility,0.002537788
Rural,Middle,Armenia,Transport,0.095126597
Rural,Middle,Armenia,Energy,0.021677799
Rural,Middle,Armenia,Housing,0.010735922
Rural,Middle,Armenia,Clothing and Footwear,0.03730304
Rural,Middle,Armenia,Food and Beverages,0.271975014
Rural,Middle,Armenia,All Sectors,1
Rural,Low,Armenia,Others,0.070300155
Rural,Low,Armenia,Financial Services,1.96E-05
Rural,Low,Armenia,ICT,0.040337873
Rural,Low,Armenia,Personal Care,0.019317789
Rural,Low,Armenia,Health,0.089635746
Rural,Low,Armenia,Education   ,0.01066598
Rural,Low,Armenia,Water Utility,0.00382837
Rural,Low,Armenia,Transport,0.070762173
Rural,Low,Armenia,Energy,0.036505146
Rural,Low,Armenia,Housing,0.009490493
Rural,Low,Armenia,Clothing and Footwear,0.059038471
Rural,Low,Armenia,Food and Beverages,0.59009817
Rural,Low,Armenia,All Sectors,1
Rural,Lowest,Armenia,Others,0.056781738
Rural,Lowest,Armenia,Financial Services,0
Rural,Lowest,Armenia,ICT,0.038169981
Rural,Lowest,Armenia,Personal Care,0.013688787
Rural,Lowest,Armenia,Health,0.043156432
Rural,Lowest,Armenia,Education   ,0.003633094
Rural,Lowest,Armenia,Water Utility,0.005588143
Rural,Lowest,Armenia,Transport,0.036819381
Rural,Lowest,Armenia,Energy,0.048262174
Rural,Lowest,Armenia,Housing,0.003373299
Rural,Lowest,Armenia,Clothing and Footwear,0.024302203
Rural,Lowest,Armenia,Food and Beverages,0.726224767
Rural,Lowest,Armenia,All Sectors,1
Rural,All,Armenia,Others,0.06461083
Rural,All,Armenia,Financial Services,1.29E-05
Rural,All,Armenia,ICT,0.03989515
Rural,All,Armenia,Personal Care,0.017215904
Rural,All,Armenia,Health,0.090442735
Rural,All,Armenia,Education   ,0.00844353
Rural,All,Armenia,Water Utility,0.004311788
Rural,All,Armenia,Transport,0.061417006
Rural,All,Armenia,Energy,0.039489232
Rural,All,Armenia,Housing,0.007681783
Rural,All,Armenia,Clothing and Footwear,0.047627428
Rural,All,Armenia,Food and Beverages,0.618851719
Rural,All,Armenia,All Sectors,1
Urban,Higher,Armenia,Others,0.549945033
Urban,Higher,Armenia,Financial Services,0
Urban,Higher,Armenia,ICT,0.021116866
Urban,Higher,Armenia,Personal Care,0.011132762
Urban,Higher,Armenia,Health,0.284347704
Urban,Higher,Armenia,Education   ,0
Urban,Higher,Armenia,Water Utility,0.000627933
Urban,Higher,Armenia,Transport,0.009457787
Urban,Higher,Armenia,Energy,0.028157406
Urban,Higher,Armenia,Housing,0
Urban,Higher,Armenia,Clothing and Footwear,0.029797656
Urban,Higher,Armenia,Food and Beverages,0.065416853
Urban,Higher,Armenia,All Sectors,1
Urban,Middle,Armenia,Others,0.080093221
Urban,Middle,Armenia,Financial Services,0.000109218
Urban,Middle,Armenia,ICT,0.046402248
Urban,Middle,Armenia,Personal Care,0.020439207
Urban,Middle,Armenia,Health,0.216241957
Urban,Middle,Armenia,Education   ,0.066650744
Urban,Middle,Armenia,Water Utility,0.006446968
Urban,Middle,Armenia,Transport,0.139297769
Urban,Middle,Armenia,Energy,0.026532148
Urban,Middle,Armenia,Housing,0.042207577
Urban,Middle,Armenia,Clothing and Footwear,0.061978403
Urban,Middle,Armenia,Food and Beverages,0.293600541
Urban,Middle,Armenia,All Sectors,1
Urban,Low,Armenia,Others,0.075221932
Urban,Low,Armenia,Financial Services,4.81E-05
Urban,Low,Armenia,ICT,0.056193682
Urban,Low,Armenia,Personal Care,0.022925837
Urban,Low,Armenia,Health,0.1073672
Urban,Low,Armenia,Education   ,0.025252425
Urban,Low,Armenia,Water Utility,0.011698225
Urban,Low,Armenia,Transport,0.079722575
Urban,Low,Armenia,Energy,0.043538723
Urban,Low,Armenia,Housing,0.019072381
Urban,Low,Armenia,Clothing and Footwear,0.037639555
Urban,Low,Armenia,Food and Beverages,0.521319349
Urban,Low,Armenia,All Sectors,1
Urban,Lowest,Armenia,Others,0.073192238
Urban,Lowest,Armenia,Financial Services,0.00028637
Urban,Lowest,Armenia,ICT,0.048229318
Urban,Lowest,Armenia,Personal Care,0.019553003
Urban,Lowest,Armenia,Health,0.069016045
Urban,Lowest,Armenia,Education   ,0.013406495
Urban,Lowest,Armenia,Water Utility,0.013036006
Urban,Lowest,Armenia,Transport,0.04632349
Urban,Lowest,Armenia,Energy,0.059879057
Urban,Lowest,Armenia,Housing,0.007019096
Urban,Lowest,Armenia,Clothing and Footwear,0.017320763
Urban,Lowest,Armenia,Food and Beverages,0.632738117
Urban,Lowest,Armenia,All Sectors,1
Urban,All,Armenia,Others,0.076571606
Urban,All,Armenia,Financial Services,0.000113775
Urban,All,Armenia,ICT,0.053115238
Urban,All,Armenia,Personal Care,0.021797586
Urban,All,Armenia,Health,0.109201314
Urban,All,Armenia,Education   ,0.026368265
Urban,All,Armenia,Water Utility,0.011474241
Urban,All,Armenia,Transport,0.077135527
Urban,All,Armenia,Energy,0.045879471
Urban,All,Armenia,Housing,0.018321013
Urban,All,Armenia,Clothing and Footwear,0.034971469
Urban,All,Armenia,Food and Beverages,0.525050494
Urban,All,Armenia,All Sectors,1
National,Higher,Azerbaijan,Others,0.196936274
National,Higher,Azerbaijan,Financial Services,0
National,Higher,Azerbaijan,ICT,0.034244761
National,Higher,Azerbaijan,Personal Care,0.002283068
National,Higher,Azerbaijan,Health,0.010178387
National,Higher,Azerbaijan,Education   ,0.021242943
National,Higher,Azerbaijan,Water Utility,0.002254436
National,Higher,Azerbaijan,Transport,0.34134593
National,Higher,Azerbaijan,Energy,0.028141873
National,Higher,Azerbaijan,Housing,0.066782542
National,Higher,Azerbaijan,Clothing and Footwear,0.076819206
National,Higher,Azerbaijan,Food and Beverages,0.21977058
National,Higher,Azerbaijan,All Sectors,1
National,Middle,Azerbaijan,Others,0.186431487
National,Middle,Azerbaijan,Financial Services,0
National,Middle,Azerbaijan,ICT,0.040002256
National,Middle,Azerbaijan,Personal Care,0.002007367
National,Middle,Azerbaijan,Health,0.023751892
National,Middle,Azerbaijan,Education   ,0.021065401
National,Middle,Azerbaijan,Water Utility,0.003805613
National,Middle,Azerbaijan,Transport,0.155037585
